Gene ID,source_id,Organism,Product Description,Protein Length,Molecular Weight,Superfamily Description,# TM Domains,Computed GO Functions,Secretome,Cyst,Trophozoite
GL50581_101,GL50581_101-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,789.0,89258.0,P-loop containing nucleoside triphosphate hydrolase,0.0,,0,0,1
GL50581_1010,GL50581_1010-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQI3],1504.0,164619.0,Ankyrin repeat-containing domain superfamily,0.0,protein binding,0,0,1
GL50581_1011,GL50581_1011-t26_1,Giardia Assemblage B isolate GS,AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQI4],664.0,74039.0,P-loop containing nucleoside triphosphate hydrolase,0.0,ATP binding;ATP hydrolysis activity,0,0,1
GL50581_1012,GL50581_1012-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,407.0,46161.0,,0.0,,0,0,1
GL50581_1013,GL50581_1013-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,332.0,37586.0,,2.0,,0,0,1
GL50581_1014,GL50581_1014-t26_1,Giardia Assemblage B isolate GS,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 [Source:UniProtKB/TrEMBL;Acc:C6LQI7]",150.0,17264.0,"Nucleic acid-binding, OB-fold",0.0,,0,1,0
GL50581_1015,GL50581_1015-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,503.0,54968.0,"Bactericidal permeability-increasing protein, alpha/beta domain superfamily",0.0,lipid binding,0,0,1
GL50581_1016,GL50581_1016-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,619.0,69257.0,,0.0,,0,0,1
GL50581_1017,GL50581_1017-t26_1,Giardia Assemblage B isolate GS,"Kinase, NEK [Source:UniProtKB/TrEMBL;Acc:C6LQJ0]",509.0,57319.0,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0.0,ATP binding;protein binding;protein kinase activity,0,0,1
GL50581_1019,GL50581_1019-t26_1,Giardia Assemblage B isolate GS,Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:C6LQJ1],168.0,18030.0,Cyclophilin-like domain superfamily,0.0,peptidyl-prolyl cis-trans isomerase activity,1,0,1
GL50581_102,GL50581_102-t26_1,Giardia Assemblage B isolate GS,"Cation-transporting ATPase 2, putative [Source:UniProtKB/TrEMBL;Acc:C6LN03]",1365.0,150758.0,"HAD-like superfamily;P-type ATPase, A domain superfamily;P-type ATPase, cytoplasmic domain N;P-type ATPase, transmembrane domain superfamily",6.0,nucleotide binding,0,0,1
GL50581_1021,GL50581_1021-t26_1,Giardia Assemblage B isolate GS,WD_REPEATS_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQJ2],2204.0,245258.0,WD40-repeat-containing domain superfamily,0.0,protein binding,0,0,1
GL50581_1022,GL50581_1022-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,355.0,37679.0,,0.0,,0,0,1
GL50581_1023,GL50581_1023-t26_1,Giardia Assemblage B isolate GS,Coiled-coil protein [Source:UniProtKB/TrEMBL;Acc:C6LQJ4],398.0,47848.0,,0.0,,0,0,1
GL50581_1024,GL50581_1024-t26_1,Giardia Assemblage B isolate GS,N-acetyltransferase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQJ5],156.0,18158.0,Acyl-CoA N-acyltransferase,0.0,N-acetyltransferase activity,0,0,1
GL50581_1025,GL50581_1025-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,296.0,30717.0,,0.0,,0,0,1
GL50581_1026,GL50581_1026-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,101.0,11083.0,,0.0,,0,0,1
GL50581_1027,GL50581_1027-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,216.0,24973.0,,0.0,,0,0,1
GL50581_1028,GL50581_1028-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1770.0,194587.0,,0.0,,0,0,1
GL50581_1029,GL50581_1029-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,520.0,59120.0,,0.0,,0,0,1
GL50581_103,GL50581_103-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,293.0,32300.0,,0.0,,0,0,1
GL50581_1030,GL50581_1030-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQK1],208.0,22458.0,Ankyrin repeat-containing domain superfamily,0.0,protein binding,0,0,1
GL50581_1031,GL50581_1031-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQK2],474.0,52568.0,Ankyrin repeat-containing domain superfamily,0.0,protein binding,0,0,1
GL50581_1032,GL50581_1032-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQK3],623.0,66331.0,Ankyrin repeat-containing domain superfamily,0.0,protein binding,1,0,1
GL50581_1033,GL50581_1033-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LQK4],716.0,79192.0,Ankyrin repeat-containing domain superfamily,0.0,protein binding,0,0,1
GL50581_1034,GL50581_1034-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LQK5],740.0,81372.0,Ankyrin repeat-containing domain superfamily,0.0,protein binding,0,0,1
GL50581_1035,GL50581_1035-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,296.0,32195.0,,0.0,,0,0,1
GL50581_1036,GL50581_1036-t26_1,Giardia Assemblage B isolate GS,DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:C6LQK7],1235.0,138069.0,,0.0,DNA binding;DNA-directed 5'-3' RNA polymerase activity;ribonucleoside binding,0,0,1
GL50581_1037,GL50581_1037-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,544.0,61910.0,,9.0,,0,0,1
GL50581_1038,GL50581_1038-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,184.0,19951.0,,0.0,,0,0,1
GL50581_1039,GL50581_1039-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,184.0,19986.0,,0.0,,0,0,1
GL50581_104,GL50581_104-t26_1,Giardia Assemblage B isolate GS,acidPPc domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LN05],177.0,19538.0,Phosphatidic acid phosphatase type 2/haloperoxidase superfamily,5.0,,0,0,1
GL50581_1040,GL50581_1040-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,228.0,25199.0,,0.0,,0,0,1
GL50581_1041,GL50581_1041-t26_1,Giardia Assemblage B isolate GS,High cysteine non-variant cyst protein [Source:UniProtKB/TrEMBL;Acc:C6LQL2],1609.0,169285.0,Growth factor receptor cysteine-rich domain superfamily,1.0,,0,1,0
GL50581_1042,GL50581_1042-t26_1,Giardia Assemblage B isolate GS,TPR_5 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQL3],568.0,62407.0,Tetratricopeptide-like helical domain superfamily,0.0,protein binding,0,0,1
GL50581_1043,GL50581_1043-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQL4],335.0,37841.0,Protein kinase-like domain superfamily,0.0,ATP binding;protein kinase activity,0,0,1
GL50581_1044,GL50581_1044-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,700.0,78876.0,CH domain superfamily,0.0,,0,0,1
GL50581_1045,GL50581_1045-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,276.0,31493.0,,0.0,,0,0,1
GL50581_1046,GL50581_1046-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,464.0,50481.0,,0.0,,0,0,1
GL50581_1047,GL50581_1047-t26_1,Giardia Assemblage B isolate GS,Pyruvate-flavodoxin oxidoreductase [Source:UniProtKB/TrEMBL;Acc:C6LQL8],1199.0,131704.0,"Thiamin diphosphate-binding fold;Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II;Pyruvate-flavodoxin oxidoreductase, central domain",0.0,"4 iron, 4 sulfur cluster binding;catalytic activity;iron ion binding;oxidoreductase activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors;thiamine pyrophosphate binding",1,0,1
GL50581_1048,GL50581_1048-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,348.0,38932.0,,0.0,,0,0,1
GL50581_1049,GL50581_1049-t26_1,Giardia Assemblage B isolate GS,zf-Sec23_Sec24 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQM0],1013.0,113257.0,"von Willebrand factor A-like domain superfamily;Zinc finger, Sec23/Sec24-type superfamily",0.0,zinc ion binding,0,0,1
GL50581_105,GL50581_105-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,182.0,20941.0,PIN-like domain superfamily,0.0,,0,0,1
GL50581_1050,GL50581_1050-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,220.0,24015.0,,6.0,,0,0,1
GL50581_1051,GL50581_1051-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,316.0,34595.0,,0.0,,0,0,1
GL50581_1052,GL50581_1052-t26_1,Giardia Assemblage B isolate GS,"Kinase, NEK [Source:UniProtKB/TrEMBL;Acc:C6LQM3]",744.0,82449.0,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0.0,ATP binding;protein binding;protein kinase activity,0,0,1
GL50581_1053,GL50581_1053-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQM4],664.0,72693.0,Ankyrin repeat-containing domain superfamily,0.0,protein binding,0,0,1
GL50581_1054,GL50581_1054-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1380.0,152573.0,,0.0,,0,0,1
GL50581_1055,GL50581_1055-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LQM6],1171.0,128828.0,Ankyrin repeat-containing domain superfamily,0.0,protein binding,0,0,1
GL50581_1056,GL50581_1056-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1663.0,186172.0,,0.0,,0,0,1
GL50581_1057,GL50581_1057-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,381.0,42292.0,HAD-like superfamily,0.0,,0,0,1
GL50581_1058,GL50581_1058-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1500.0,168857.0,,0.0,,0,0,1
GL50581_1059,GL50581_1059-t26_1,Giardia Assemblage B isolate GS,Alpha-19 giardin [Source:UniProtKB/TrEMBL;Acc:C6LQN0],469.0,50361.0,Annexin superfamily,0.0,calcium ion binding;calcium-dependent phospholipid binding,0,0,1
GL50581_106,GL50581_106-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LN07],2085.0,233642.0,Protein kinase-like domain superfamily,0.0,ATP binding;protein kinase activity,0,0,1
GL50581_1060,GL50581_1060-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,3869.0,442323.0,,18.0,,0,0,1
GL50581_1061,GL50581_1061-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,87.0,9667.0,,2.0,proton transmembrane transporter activity,0,0,1
GL50581_1062,GL50581_1062-t26_1,Giardia Assemblage B isolate GS,Smr domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQN3],302.0,34067.0,Smr domain superfamily,0.0,,0,0,1
GL50581_1063,GL50581_1063-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQN4],859.0,97091.0,Protein kinase-like domain superfamily,0.0,ATP binding;protein kinase activity,0,0,1
GL50581_1064,GL50581_1064-t26_1,Giardia Assemblage B isolate GS,WD_REPEATS_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQN5],343.0,38921.0,WD40-repeat-containing domain superfamily,0.0,protein binding,0,0,1
GL50581_1065,GL50581_1065-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,819.0,92965.0,,0.0,,0,0,1
GL50581_1066,GL50581_1066-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQN7],241.0,25598.0,Ankyrin repeat-containing domain superfamily,0.0,protein binding,0,0,1
GL50581_1067,GL50581_1067-t26_1,Giardia Assemblage B isolate GS,Histone H4 [Source:UniProtKB/TrEMBL;Acc:C6LQN8],99.0,11100.0,Histone-fold,0.0,DNA binding;protein heterodimerization activity,0,0,1
GL50581_1068,GL50581_1068-t26_1,Giardia Assemblage B isolate GS,Sm domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQN9],90.0,9797.0,LSM domain superfamily,0.0,,0,0,1
GL50581_1069,GL50581_1069-t26_1,Giardia Assemblage B isolate GS,Dynein regulatory complex protein 10 [Source:UniProtKB/TrEMBL;Acc:C6LQP0],406.0,45500.0,,0.0,,0,0,1
GL50581_107,GL50581_107-t26_1,Giardia Assemblage B isolate GS,CCT-theta [Source:UniProtKB/TrEMBL;Acc:C6LN08],560.0,60279.0,GroEL-like equatorial domain superfamily;GroEL-like apical domain superfamily;TCP-1-like chaperonin intermediate domain superfamily,0.0,ATP binding;unfolded protein binding,0,0,1
GL50581_1070,GL50581_1070-t26_1,Giardia Assemblage B isolate GS,Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:C6LQP1],541.0,60814.0,,0.0,ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;phenylalanine-tRNA ligase activity;tRNA binding,0,0,1
GL50581_1071,GL50581_1071-t26_1,Giardia Assemblage B isolate GS,"Yip interacting protein, putative [Source:UniProtKB/TrEMBL;Acc:C6LQP2]",161.0,18532.0,,2.0,,0,0,1
GL50581_1072,GL50581_1072-t26_1,Giardia Assemblage B isolate GS,RabB [Source:UniProtKB/TrEMBL;Acc:C6LQP3],183.0,20077.0,P-loop containing nucleoside triphosphate hydrolase,0.0,GTP binding;GTPase activity,0,0,1
GL50581_1073,GL50581_1073-t26_1,Giardia Assemblage B isolate GS,Coiled-coil protein [Source:UniProtKB/TrEMBL;Acc:C6LQP4],1596.0,177070.0,,0.0,,0,0,1
GL50581_1074,GL50581_1074-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,309.0,32731.0,,0.0,,0,0,1
GL50581_1075,GL50581_1075-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1096.0,123432.0,,0.0,,0,0,1
GL50581_1076,GL50581_1076-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,364.0,40403.0,Endonuclease/exonuclease/phosphatase superfamily,0.0,,0,0,1
GL50581_1077,GL50581_1077-t26_1,Giardia Assemblage B isolate GS,GH26 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQP8],536.0,58431.0,Glycoside hydrolase superfamily;Growth factor receptor cysteine-rich domain superfamily,2.0,"hydrolase activity, hydrolyzing O-glycosyl compounds",0,0,1
GL50581_1078,GL50581_1078-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,228.0,25146.0,,6.0,,0,0,1
GL50581_1079,GL50581_1079-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,668.0,74802.0,,0.0,,0,0,1
GL50581_108,GL50581_108-t26_1,Giardia Assemblage B isolate GS,Methyltransf_11 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LN09],189.0,20942.0,S-adenosyl-L-methionine-dependent methyltransferase,0.0,methyltransferase activity,0,0,1
GL50581_1080,GL50581_1080-t26_1,Giardia Assemblage B isolate GS,Bromo domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQQ1],1925.0,215976.0,Bromodomain-like superfamily,0.0,protein binding,0,0,1
GL50581_1081,GL50581_1081-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,797.0,89208.0,,0.0,,0,0,1
GL50581_1082,GL50581_1082-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,593.0,66139.0,WD40-repeat-containing domain superfamily,0.0,protein binding,0,0,1
GL50581_1083,GL50581_1083-t26_1,Giardia Assemblage B isolate GS,TPR_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQQ4],148.0,17004.0,Tetratricopeptide-like helical domain superfamily,0.0,protein binding,0,0,1
GL50581_1084,GL50581_1084-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,472.0,53871.0,,0.0,,0,0,1
GL50581_1085,GL50581_1085-t26_1,Giardia Assemblage B isolate GS,PI3K/PI4K domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQQ6],2267.0,255599.0,Protein kinase-like domain superfamily,0.0,kinase activity,0,0,1
GL50581_1086,GL50581_1086-t26_1,Giardia Assemblage B isolate GS,Kinesin-like protein [Source:UniProtKB/TrEMBL;Acc:C6LQQ7],625.0,69382.0,P-loop containing nucleoside triphosphate hydrolase,0.0,ATP binding;microtubule binding;microtubule motor activity,0,0,1
GL50581_1087,GL50581_1087-t26_1,Giardia Assemblage B isolate GS,RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQQ8],788.0,87982.0,,0.0,,0,0,1
GL50581_1088,GL50581_1088-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,166.0,18172.0,EF-hand domain pair,0.0,,0,0,1
GL50581_1089,GL50581_1089-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,510.0,56298.0,,0.0,,0,0,1
GL50581_109,GL50581_109-t26_1,Giardia Assemblage B isolate GS,Lipase_3 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LN10],473.0,53439.0,Alpha/Beta hydrolase fold,0.0,,0,0,1
GL50581_1090,GL50581_1090-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,468.0,53600.0,Tetratricopeptide-like helical domain superfamily,0.0,protein binding;snoRNA binding,0,0,1
GL50581_1091,GL50581_1091-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,364.0,40988.0,,5.0,,0,0,1
GL50581_1092,GL50581_1092-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,784.0,86597.0,,0.0,,0,0,1
GL50581_1093,GL50581_1093-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,130.0,14543.0,RutC-like superfamily,0.0,,0,0,1
GL50581_1094,GL50581_1094-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,127.0,14584.0,,0.0,,0,0,1
GL50581_1095,GL50581_1095-t26_1,Giardia Assemblage B isolate GS,Ribosome production factor 2 homolog [Source:UniProtKB/TrEMBL;Acc:C6LQR6],332.0,37698.0,,0.0,rRNA binding,0,0,1
GL50581_1096,GL50581_1096-t26_1,Giardia Assemblage B isolate GS,EGF-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQR7],376.0,39528.0,,0.0,,0,1,0
GL50581_1097,GL50581_1097-t26_1,Giardia Assemblage B isolate GS,Spindle pole body component [Source:UniProtKB/TrEMBL;Acc:C6LQR8],967.0,108048.0,,0.0,gamma-tubulin binding,0,0,1
GL50581_1098,GL50581_1098-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,429.0,47526.0,WD40-repeat-containing domain superfamily,0.0,protein binding,0,0,1
GL50581_1099,GL50581_1099-t26_1,Giardia Assemblage B isolate GS,Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:C6LQS0],318.0,36410.0,,0.0,hydrolase activity;phosphoprotein phosphatase activity,0,0,1
GL50581_11,GL50581_11-t26_1,Giardia Assemblage B isolate GS,"Kinase, NEK [Source:UniProtKB/TrEMBL;Acc:C6LMR5]",1462.0,161498.0,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0.0,ATP binding;protein binding;protein kinase activity,0,0,1
GL50581_110,GL50581_110-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,275.0,32129.0,Thioredoxin-like superfamily,1.0,,0,0,1
GL50581_1100,GL50581_1100-t26_1,Giardia Assemblage B isolate GS,FACT complex subunit [Source:UniProtKB/TrEMBL;Acc:C6LQS1],1166.0,129665.0,,0.0,,0,0,1
GL50581_1102,GL50581_1102-t26_1,Giardia Assemblage B isolate GS,Deacetylase sirtuin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQS2],680.0,75254.0,DHS-like NAD/FAD-binding domain superfamily,0.0,NAD+ binding;transferase activity,0,0,1
GL50581_1103,GL50581_1103-t26_1,Giardia Assemblage B isolate GS,Deacetylase sirtuin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQS3],559.0,62834.0,DHS-like NAD/FAD-binding domain superfamily,0.0,NAD+ binding;transferase activity,0,0,1
GL50581_1104,GL50581_1104-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,473.0,53519.0,,0.0,,0,0,1
GL50581_1105,GL50581_1105-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LQS5],382.0,42010.0,Ankyrin repeat-containing domain superfamily,0.0,protein binding;transferase activity,0,0,1
GL50581_1106,GL50581_1106-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,330.0,36905.0,Kelch-type beta propeller,0.0,protein binding,0,0,1
GL50581_1107,GL50581_1107-t26_1,Giardia Assemblage B isolate GS,"Ubiquitin protein, putative [Source:UniProtKB/TrEMBL;Acc:C6LQS7]",507.0,56125.0,Ubiquitin-like domain superfamily,0.0,protein binding,0,0,1
GL50581_1108,GL50581_1108-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,2177.0,242780.0,,0.0,,0,0,1
GL50581_1109,GL50581_1109-t26_1,Giardia Assemblage B isolate GS,Phosphorylase B kinase gamma catalytic chain [Source:UniProtKB/TrEMBL;Acc:C6LQS9],773.0,85589.0,,0.0,kinase activity;protein phosphatase binding,0,0,1
GL50581_111,GL50581_111-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,6946.0,776407.0,,0.0,,0,0,1
GL50581_1110,GL50581_1110-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,347.0,37693.0,,0.0,,0,0,1
GL50581_1111,GL50581_1111-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,113.0,12829.0,,2.0,,0,0,1
GL50581_1112,GL50581_1112-t26_1,Giardia Assemblage B isolate GS,Na driven multidrug efflux pump [Source:UniProtKB/TrEMBL;Acc:C6LQT2],616.0,68712.0,,10.0,antiporter activity;xenobiotic transmembrane transporter activity,0,0,1
GL50581_1113,GL50581_1113-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,887.0,97681.0,WD40-repeat-containing domain superfamily,0.0,protein binding,0,0,1
GL50581_1114,GL50581_1114-t26_1,Giardia Assemblage B isolate GS,"GPI-anchor transamidase, putative [Source:UniProtKB/TrEMBL;Acc:C6LQT4]",251.0,28667.0,,0.0,GPI-anchor transamidase activity;peptidase activity,0,0,1
GL50581_1115,GL50581_1115-t26_1,Giardia Assemblage B isolate GS,Proliferating cell nuclear antigen [Source:UniProtKB/TrEMBL;Acc:C6LQT5],299.0,33236.0,,0.0,DNA binding;DNA polymerase processivity factor activity,0,0,1
GL50581_1116,GL50581_1116-t26_1,Giardia Assemblage B isolate GS,UMP pyrophosphorylase [Source:UniProtKB/TrEMBL;Acc:C6LQT6],211.0,23299.0,Phosphoribosyltransferase-like,0.0,GTP binding;uracil phosphoribosyltransferase activity,0,0,1
GL50581_1117,GL50581_1117-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1365.0,152876.0,,0.0,metal ion binding,0,0,1
GL50581_1118,GL50581_1118-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,143.0,16376.0,Cyclin-like superfamily,0.0,,0,0,1
GL50581_1119,GL50581_1119-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,316.0,36072.0,,0.0,,0,0,1
GL50581_1120,GL50581_1120-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQU0],571.0,63867.0,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0.0,ATP binding;protein binding;protein kinase activity,0,0,1
GL50581_1121,GL50581_1121-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1099.0,121589.0,WD40-repeat-containing domain superfamily;Quinoprotein alcohol dehydrogenase-like superfamily,0.0,protein binding,0,0,1
GL50581_1122,GL50581_1122-t26_1,Giardia Assemblage B isolate GS,RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQU2],2094.0,236661.0,,0.0,metal ion binding,0,0,1
