Gene ID,source_id,Organism,Product Description,Protein Length,Molecular Weight,Superfamily Description,# TM Domains,Computed GO Functions
GL50581_1009,GL50581_1009-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQI2],2350,259860,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_101,GL50581_101-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,789,89258,P-loop containing nucleoside triphosphate hydrolase,0,N/A
GL50581_1010,GL50581_1010-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQI3],1504,164619,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_1011,GL50581_1011-t26_1,Giardia Assemblage B isolate GS,AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQI4],664,74039,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;ATP hydrolysis activity
GL50581_1012,GL50581_1012-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,407,46161,N/A,0,N/A
GL50581_1013,GL50581_1013-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,332,37586,N/A,2,N/A
GL50581_1014,GL50581_1014-t26_1,Giardia Assemblage B isolate GS,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 [Source:UniProtKB/TrEMBL;Acc:C6LQI7]",150,17264,"Nucleic acid-binding, OB-fold",0,N/A
GL50581_1015,GL50581_1015-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,503,54968,"Bactericidal permeability-increasing protein, alpha/beta domain superfamily",0,lipid binding
GL50581_1016,GL50581_1016-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,619,69257,N/A,0,N/A
GL50581_1017,GL50581_1017-t26_1,Giardia Assemblage B isolate GS,"Kinase, NEK [Source:UniProtKB/TrEMBL;Acc:C6LQJ0]",509,57319,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50581_1019,GL50581_1019-t26_1,Giardia Assemblage B isolate GS,Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:C6LQJ1],168,18030,Cyclophilin-like domain superfamily,0,peptidyl-prolyl cis-trans isomerase activity
GL50581_102,GL50581_102-t26_1,Giardia Assemblage B isolate GS,"Cation-transporting ATPase 2, putative [Source:UniProtKB/TrEMBL;Acc:C6LN03]",1365,150758,"HAD-like superfamily;P-type ATPase, A domain superfamily;P-type ATPase, cytoplasmic domain N;P-type ATPase, transmembrane domain superfamily",6,nucleotide binding
GL50581_1021,GL50581_1021-t26_1,Giardia Assemblage B isolate GS,WD_REPEATS_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQJ2],2204,245258,WD40-repeat-containing domain superfamily,0,protein binding
GL50581_1022,GL50581_1022-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,355,37679,N/A,0,N/A
GL50581_1023,GL50581_1023-t26_1,Giardia Assemblage B isolate GS,Coiled-coil protein [Source:UniProtKB/TrEMBL;Acc:C6LQJ4],398,47848,N/A,0,N/A
GL50581_1024,GL50581_1024-t26_1,Giardia Assemblage B isolate GS,N-acetyltransferase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQJ5],156,18158,Acyl-CoA N-acyltransferase,0,N-acetyltransferase activity
GL50581_1025,GL50581_1025-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,296,30717,N/A,0,N/A
GL50581_1026,GL50581_1026-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,101,11083,N/A,0,N/A
GL50581_1027,GL50581_1027-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,216,24973,N/A,0,N/A
GL50581_1028,GL50581_1028-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1770,194587,N/A,0,N/A
GL50581_1029,GL50581_1029-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,520,59120,N/A,0,N/A
GL50581_103,GL50581_103-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,293,32300,N/A,0,N/A
GL50581_1030,GL50581_1030-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQK1],208,22458,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_1031,GL50581_1031-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQK2],474,52568,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_1032,GL50581_1032-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQK3],623,66331,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_1033,GL50581_1033-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LQK4],716,79192,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_1034,GL50581_1034-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LQK5],740,81372,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_1035,GL50581_1035-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,296,32195,N/A,0,N/A
GL50581_1036,GL50581_1036-t26_1,Giardia Assemblage B isolate GS,DNA-directed RNA polymerase subunit beta [Source:UniProtKB/TrEMBL;Acc:C6LQK7],1235,138069,N/A,0,DNA binding;DNA-directed 5'-3' RNA polymerase activity;ribonucleoside binding
GL50581_1037,GL50581_1037-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,544,61910,N/A,9,N/A
GL50581_1038,GL50581_1038-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,184,19951,N/A,0,N/A
GL50581_1039,GL50581_1039-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,184,19986,N/A,0,N/A
GL50581_104,GL50581_104-t26_1,Giardia Assemblage B isolate GS,acidPPc domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LN05],177,19538,Phosphatidic acid phosphatase type 2/haloperoxidase superfamily,5,N/A
GL50581_1040,GL50581_1040-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,228,25199,N/A,0,N/A
GL50581_1041,GL50581_1041-t26_1,Giardia Assemblage B isolate GS,High cysteine non-variant cyst protein [Source:UniProtKB/TrEMBL;Acc:C6LQL2],1609,169285,Growth factor receptor cysteine-rich domain superfamily,1,N/A
GL50581_1042,GL50581_1042-t26_1,Giardia Assemblage B isolate GS,TPR_5 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQL3],568,62407,Tetratricopeptide-like helical domain superfamily,0,protein binding
GL50581_1043,GL50581_1043-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQL4],335,37841,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50581_1044,GL50581_1044-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,700,78876,CH domain superfamily,0,N/A
GL50581_1045,GL50581_1045-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,276,31493,N/A,0,N/A
GL50581_1046,GL50581_1046-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,464,50481,N/A,0,N/A
GL50581_1047,GL50581_1047-t26_1,Giardia Assemblage B isolate GS,Pyruvate-flavodoxin oxidoreductase [Source:UniProtKB/TrEMBL;Acc:C6LQL8],1199,131704,"Thiamin diphosphate-binding fold;Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II;Pyruvate-flavodoxin oxidoreductase, central domain",0,"4 iron, 4 sulfur cluster binding;catalytic activity;iron ion binding;oxidoreductase activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors;thiamine pyrophosphate binding"
GL50581_1048,GL50581_1048-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,348,38932,N/A,0,N/A
GL50581_1049,GL50581_1049-t26_1,Giardia Assemblage B isolate GS,zf-Sec23_Sec24 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQM0],1013,113257,"von Willebrand factor A-like domain superfamily;Zinc finger, Sec23/Sec24-type superfamily",0,zinc ion binding
GL50581_105,GL50581_105-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,182,20941,PIN-like domain superfamily,0,N/A
GL50581_1050,GL50581_1050-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,220,24015,N/A,6,N/A
GL50581_1051,GL50581_1051-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,316,34595,N/A,0,N/A
GL50581_1052,GL50581_1052-t26_1,Giardia Assemblage B isolate GS,"Kinase, NEK [Source:UniProtKB/TrEMBL;Acc:C6LQM3]",744,82449,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50581_1053,GL50581_1053-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQM4],664,72693,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_1054,GL50581_1054-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1380,152573,N/A,0,N/A
GL50581_1055,GL50581_1055-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LQM6],1171,128828,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_1056,GL50581_1056-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1663,186172,N/A,0,N/A
GL50581_1057,GL50581_1057-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,381,42292,HAD-like superfamily,0,N/A
GL50581_1058,GL50581_1058-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1500,168857,N/A,0,N/A
GL50581_1059,GL50581_1059-t26_1,Giardia Assemblage B isolate GS,Alpha-19 giardin [Source:UniProtKB/TrEMBL;Acc:C6LQN0],469,50361,Annexin superfamily,0,calcium ion binding;calcium-dependent phospholipid binding
GL50581_106,GL50581_106-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LN07],2085,233642,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50581_1060,GL50581_1060-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,3869,442323,N/A,18,N/A
GL50581_1061,GL50581_1061-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,87,9667,N/A,2,proton transmembrane transporter activity
GL50581_1062,GL50581_1062-t26_1,Giardia Assemblage B isolate GS,Smr domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQN3],302,34067,Smr domain superfamily,0,N/A
GL50581_1063,GL50581_1063-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQN4],859,97091,Protein kinase-like domain superfamily,0,ATP binding;protein kinase activity
GL50581_1064,GL50581_1064-t26_1,Giardia Assemblage B isolate GS,WD_REPEATS_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQN5],343,38921,WD40-repeat-containing domain superfamily,0,protein binding
GL50581_1065,GL50581_1065-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,819,92965,N/A,0,N/A
GL50581_1066,GL50581_1066-t26_1,Giardia Assemblage B isolate GS,ANK_REP_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQN7],241,25598,Ankyrin repeat-containing domain superfamily,0,protein binding
GL50581_1067,GL50581_1067-t26_1,Giardia Assemblage B isolate GS,Histone H4 [Source:UniProtKB/TrEMBL;Acc:C6LQN8],99,11100,Histone-fold,0,DNA binding;protein heterodimerization activity
GL50581_1068,GL50581_1068-t26_1,Giardia Assemblage B isolate GS,Sm domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQN9],90,9797,LSM domain superfamily,0,N/A
GL50581_1069,GL50581_1069-t26_1,Giardia Assemblage B isolate GS,Dynein regulatory complex protein 10 [Source:UniProtKB/TrEMBL;Acc:C6LQP0],406,45500,N/A,0,N/A
GL50581_107,GL50581_107-t26_1,Giardia Assemblage B isolate GS,CCT-theta [Source:UniProtKB/TrEMBL;Acc:C6LN08],560,60279,GroEL-like equatorial domain superfamily;GroEL-like apical domain superfamily;TCP-1-like chaperonin intermediate domain superfamily,0,ATP binding;unfolded protein binding
GL50581_1070,GL50581_1070-t26_1,Giardia Assemblage B isolate GS,Phenylalanine--tRNA ligase [Source:UniProtKB/TrEMBL;Acc:C6LQP1],541,60814,N/A,0,ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;phenylalanine-tRNA ligase activity;tRNA binding
GL50581_1071,GL50581_1071-t26_1,Giardia Assemblage B isolate GS,"Yip interacting protein, putative [Source:UniProtKB/TrEMBL;Acc:C6LQP2]",161,18532,N/A,2,N/A
GL50581_1072,GL50581_1072-t26_1,Giardia Assemblage B isolate GS,RabB [Source:UniProtKB/TrEMBL;Acc:C6LQP3],183,20077,P-loop containing nucleoside triphosphate hydrolase,0,GTP binding;GTPase activity
GL50581_1073,GL50581_1073-t26_1,Giardia Assemblage B isolate GS,Coiled-coil protein [Source:UniProtKB/TrEMBL;Acc:C6LQP4],1596,177070,N/A,0,N/A
GL50581_1074,GL50581_1074-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,309,32731,N/A,0,N/A
GL50581_1075,GL50581_1075-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1096,123432,N/A,0,N/A
GL50581_1076,GL50581_1076-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,364,40403,Endonuclease/exonuclease/phosphatase superfamily,0,N/A
GL50581_1077,GL50581_1077-t26_1,Giardia Assemblage B isolate GS,GH26 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQP8],536,58431,Glycoside hydrolase superfamily;Growth factor receptor cysteine-rich domain superfamily,2,"hydrolase activity, hydrolyzing O-glycosyl compounds"
GL50581_1078,GL50581_1078-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,228,25146,N/A,6,N/A
GL50581_1079,GL50581_1079-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,668,74802,N/A,0,N/A
GL50581_108,GL50581_108-t26_1,Giardia Assemblage B isolate GS,Methyltransf_11 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LN09],189,20942,S-adenosyl-L-methionine-dependent methyltransferase,0,methyltransferase activity
GL50581_1080,GL50581_1080-t26_1,Giardia Assemblage B isolate GS,Bromo domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQQ1],1925,215976,Bromodomain-like superfamily,0,protein binding
GL50581_1081,GL50581_1081-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,797,89208,N/A,0,N/A
GL50581_1082,GL50581_1082-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,593,66139,WD40-repeat-containing domain superfamily,0,protein binding
GL50581_1083,GL50581_1083-t26_1,Giardia Assemblage B isolate GS,TPR_REGION domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQQ4],148,17004,Tetratricopeptide-like helical domain superfamily,0,protein binding
GL50581_1084,GL50581_1084-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,472,53871,N/A,0,N/A
GL50581_1085,GL50581_1085-t26_1,Giardia Assemblage B isolate GS,PI3K/PI4K domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQQ6],2267,255599,Protein kinase-like domain superfamily,0,kinase activity
GL50581_1086,GL50581_1086-t26_1,Giardia Assemblage B isolate GS,Kinesin-like protein [Source:UniProtKB/TrEMBL;Acc:C6LQQ7],625,69382,P-loop containing nucleoside triphosphate hydrolase,0,ATP binding;microtubule binding;microtubule motor activity
GL50581_1087,GL50581_1087-t26_1,Giardia Assemblage B isolate GS,RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQQ8],788,87982,N/A,0,N/A
GL50581_1088,GL50581_1088-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,166,18172,EF-hand domain pair,0,N/A
GL50581_1089,GL50581_1089-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,510,56298,N/A,0,N/A
GL50581_109,GL50581_109-t26_1,Giardia Assemblage B isolate GS,Lipase_3 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LN10],473,53439,Alpha/Beta hydrolase fold,0,N/A
GL50581_1090,GL50581_1090-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,468,53600,Tetratricopeptide-like helical domain superfamily,0,protein binding;snoRNA binding
GL50581_1091,GL50581_1091-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,364,40988,N/A,5,N/A
GL50581_1092,GL50581_1092-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,784,86597,N/A,0,N/A
GL50581_1093,GL50581_1093-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,130,14543,RutC-like superfamily,0,N/A
GL50581_1094,GL50581_1094-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,127,14584,N/A,0,N/A
GL50581_1095,GL50581_1095-t26_1,Giardia Assemblage B isolate GS,Ribosome production factor 2 homolog [Source:UniProtKB/TrEMBL;Acc:C6LQR6],332,37698,N/A,0,rRNA binding
GL50581_1096,GL50581_1096-t26_1,Giardia Assemblage B isolate GS,EGF-like domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQR7],376,39528,N/A,0,N/A
GL50581_1097,GL50581_1097-t26_1,Giardia Assemblage B isolate GS,Spindle pole body component [Source:UniProtKB/TrEMBL;Acc:C6LQR8],967,108048,N/A,0,gamma-tubulin binding
GL50581_1098,GL50581_1098-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,429,47526,WD40-repeat-containing domain superfamily,0,protein binding
GL50581_1099,GL50581_1099-t26_1,Giardia Assemblage B isolate GS,Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:C6LQS0],318,36410,N/A,0,hydrolase activity;phosphoprotein phosphatase activity
GL50581_11,GL50581_11-t26_1,Giardia Assemblage B isolate GS,"Kinase, NEK [Source:UniProtKB/TrEMBL;Acc:C6LMR5]",1462,161498,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50581_110,GL50581_110-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,275,32129,Thioredoxin-like superfamily,1,N/A
GL50581_1100,GL50581_1100-t26_1,Giardia Assemblage B isolate GS,FACT complex subunit [Source:UniProtKB/TrEMBL;Acc:C6LQS1],1166,129665,N/A,0,N/A
GL50581_1102,GL50581_1102-t26_1,Giardia Assemblage B isolate GS,Deacetylase sirtuin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQS2],680,75254,DHS-like NAD/FAD-binding domain superfamily,0,NAD+ binding;transferase activity
GL50581_1103,GL50581_1103-t26_1,Giardia Assemblage B isolate GS,Deacetylase sirtuin-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQS3],559,62834,DHS-like NAD/FAD-binding domain superfamily,0,NAD+ binding;transferase activity
GL50581_1104,GL50581_1104-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,473,53519,N/A,0,N/A
GL50581_1105,GL50581_1105-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LQS5],382,42010,Ankyrin repeat-containing domain superfamily,0,protein binding;transferase activity
GL50581_1106,GL50581_1106-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,330,36905,Kelch-type beta propeller,0,protein binding
GL50581_1107,GL50581_1107-t26_1,Giardia Assemblage B isolate GS,"Ubiquitin protein, putative [Source:UniProtKB/TrEMBL;Acc:C6LQS7]",507,56125,Ubiquitin-like domain superfamily,0,protein binding
GL50581_1108,GL50581_1108-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,2177,242780,N/A,0,N/A
GL50581_1109,GL50581_1109-t26_1,Giardia Assemblage B isolate GS,Phosphorylase B kinase gamma catalytic chain [Source:UniProtKB/TrEMBL;Acc:C6LQS9],773,85589,N/A,0,kinase activity;protein phosphatase binding
GL50581_111,GL50581_111-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,6946,776407,N/A,0,N/A
GL50581_1110,GL50581_1110-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,347,37693,N/A,0,N/A
GL50581_1111,GL50581_1111-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,113,12829,N/A,2,N/A
GL50581_1112,GL50581_1112-t26_1,Giardia Assemblage B isolate GS,Na driven multidrug efflux pump [Source:UniProtKB/TrEMBL;Acc:C6LQT2],616,68712,N/A,10,antiporter activity;xenobiotic transmembrane transporter activity
GL50581_1113,GL50581_1113-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,887,97681,WD40-repeat-containing domain superfamily,0,protein binding
GL50581_1114,GL50581_1114-t26_1,Giardia Assemblage B isolate GS,"GPI-anchor transamidase, putative [Source:UniProtKB/TrEMBL;Acc:C6LQT4]",251,28667,N/A,0,GPI-anchor transamidase activity;peptidase activity
GL50581_1115,GL50581_1115-t26_1,Giardia Assemblage B isolate GS,Proliferating cell nuclear antigen [Source:UniProtKB/TrEMBL;Acc:C6LQT5],299,33236,N/A,0,DNA binding;DNA polymerase processivity factor activity
GL50581_1116,GL50581_1116-t26_1,Giardia Assemblage B isolate GS,UMP pyrophosphorylase [Source:UniProtKB/TrEMBL;Acc:C6LQT6],211,23299,Phosphoribosyltransferase-like,0,GTP binding;uracil phosphoribosyltransferase activity
GL50581_1117,GL50581_1117-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1365,152876,N/A,0,metal ion binding
GL50581_1118,GL50581_1118-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,143,16376,Cyclin-like superfamily,0,N/A
GL50581_1119,GL50581_1119-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,316,36072,N/A,0,N/A
GL50581_1120,GL50581_1120-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQU0],571,63867,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50581_1121,GL50581_1121-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1099,121589,WD40-repeat-containing domain superfamily;Quinoprotein alcohol dehydrogenase-like superfamily,0,protein binding
GL50581_1122,GL50581_1122-t26_1,Giardia Assemblage B isolate GS,RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQU2],2094,236661,N/A,0,metal ion binding
GL50581_1123,GL50581_1123-t26_1,Giardia Assemblage B isolate GS,Protein 21.1 [Source:UniProtKB/TrEMBL;Acc:C6LQU3],1044,114382,Ankyrin repeat-containing domain superfamily,0,protein binding;transferase activity
GL50581_1124,GL50581_1124-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1276,140778,N/A,0,N/A
GL50581_1125,GL50581_1125-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,1672,188460,"HECT, E3 ligase catalytic domain",0,ubiquitin-protein transferase activity
GL50581_1126,GL50581_1126-t26_1,Giardia Assemblage B isolate GS,"Splicing factor U2AF subunit, putative [Source:UniProtKB/TrEMBL;Acc:C6LQU6]",191,21727,RNA-binding domain superfamily,0,RNA binding;metal ion binding;nucleic acid binding
GL50581_1127,GL50581_1127-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,106,11862,N/A,0,N/A
GL50581_1128,GL50581_1128-t26_1,Giardia Assemblage B isolate GS,GHMP_kinases_N domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQU8],358,38388,Ribosomal protein S5 domain 2-type fold,0,ATP binding
GL50581_1129,GL50581_1129-t26_1,Giardia Assemblage B isolate GS,EVE domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQU9],188,21047,PUA-like superfamily,0,N/A
GL50581_113,GL50581_113-t26_1,Giardia Assemblage B isolate GS,NEK-like kinase protein [Source:UniProtKB/TrEMBL;Acc:C6LN13],1182,130222,Ankyrin repeat-containing domain superfamily;Protein kinase-like domain superfamily,0,ATP binding;protein binding;protein kinase activity
GL50581_1130,GL50581_1130-t26_1,Giardia Assemblage B isolate GS,LEK1 [Source:UniProtKB/TrEMBL;Acc:C6LQV0],681,74974,N/A,0,N/A
GL50581_1131,GL50581_1131-t26_1,Giardia Assemblage B isolate GS,Hypothetical protein,351,37936,N/A,0,N/A
GL50581_1132,GL50581_1132-t26_1,Giardia Assemblage B isolate GS,Protein kinase domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQV2],629,70160,"KA1 domain/Ssp2, C-terminal;Protein kinase-like domain superfamily",0,ATP binding;protein kinase activity
GL50581_1133,GL50581_1133-t26_1,Giardia Assemblage B isolate GS,AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:C6LQV3],679,76519,"P-loop containing nucleoside triphosphate hydrolase;Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain superfamily",0,ATP binding;kinase activity;nucleotide binding
